Acne Acnee
Actor Actor
Addition Adunare
Adidas Adidas
Afro Afro
Alligator Aligator
Ambulance Ambulanta
Anchor Ancora
Android Android
Angel Inger
Ant Furnica
Apple Mar
Archipelago Arhipelag
Argentina Argentina
Arm Brat
Arrow Sageata
Asteroid Asteroid
Audi Audi
Australia Australia
Austria Austria
Avocado Avocado
Axe Topor
Baby Bebelus
Bag Geanta
Bald Chel
Ball Minge
Balloon Balon
Banana Banana
Bandage Bangaj
Bank Banca
Bat Liliac
Bathtub Cada
BatMan Batman
Battery Baterie
Beach Plaja
Bean Fasole
Bear Urs
Beaver Castor
Bed Pat
Bee Albina
Beer Bere
Beetle Gandac
Belgium Belgia
Bell Clopotel
Belly Burta
Belt Curea
Bible Biblia
Bicycle Bicicleta
Bird Pasare
Bitcoin Bitcoin
Black Negru
Blade Lama
Blanket Patura
Blood Sange
Blue Albastru
BMW BMW
Boat Barca
Bomb Bomba
Book Carte
Boot Cizma
Bottle Sticla
Boulder Bolovan
Bow Fundita
Box Cutie
Boy Baiat
Bracelet Bratara
Brain Creier
Branch Ramura
Brazil Brazilia
Bread Paine
Brick Caramida
Bridge Pod
Broccoli Broccoli
Broom Matura
Brownie Negresa
Bruise Vanataie
Bubble Bula
Bucket Galeata
Building Cladire
Bull Taur
Bullet Glont
Bus Autobuz
Butterfly Fluture
Cactus Cactus
Cage Cusca
Cake Tort
Calendar Calendar
Camel Camila
Can Conserva
Canada Canada
Candle Lumanare
Cannon Tun
Canyon Canion
Cap Capac
Captain Capitan
Car Masina
Cardboard Carton
Carpet Covor
Carrot Morcov
Carrousel Carusel
Cascade Cascada
Cat Pisica
Cave Pestera
Ceiling Tavan
Cell Celula
Chair Scaun
Chameleon Cameleon
Champagne Sampanie
Cheetah Ghepard
Cherry Cireasa
Chess Sah
Chest Piept
Chicken Gaina
Chile Chile
China China
Chinatown Chinatown
Chocolate Ciocolata
Chrome Chrome
Church Biserica
Circus Circ
City Oras
Clock Ceas
Cloud Nor
Clover Trifoi
Clown Clovn
Coal Carbune
Coast Coasta
Coffee Cafea
Coin Moneda
Cola Cola
Cold Frig
Colombia Columbia
Comet Cometa
Compass Busola
Computer Computer
Constellation Constelatie
Cookie Prajitura
Copy Copie
Coral Coral
Cosmos Cosmos
Cow Vaca
Crab Crab
Crocodile Crocodil
Crow Cioara
Cube Cub
Cuckoo Cuc
Cup Canita
Czechia Cehia
Daffodil Narcisa
Daisy Margareta
Dandelion Papadie
Dead Mort
Deaf Surd
Deep Adanc
Deer Cerb
Denmark Danemarca
Dentist Dentist
Depression Depresie
Desert Desert
Desk Birou
Dice Zaruri
Director Director
Discord Discord
DNA ADN
Dog Caine
Doll Papusa
Dolphin Delfin
Door Usa
Dove Porumbel
Dragonfly Libelula
Dress Rochie
Drum Toba
Dryer Uscator
Duck Rata
Eagle Vultur
Ear Ureche
Earth Pamant
East Est
Echo Ecou
Eclipse Eclipsa
Eggs Oua
Egypt Egipt
Elephant Elefant
Emu Emu
Engine Motor
England Anglia
Eye Ochi
Eyebrow Spranceana
Face Fata
Feather Pene
Fence Gard
Ferrari Ferrari
Finger Deget
Finland Finlanda
Firecracker Petarda
Firefighter Pompier
Fireman Pompier
Fireworks Artificii
Fish Peste
Flag Steag
Flamingo Flamingo
Flash Flash
Floor Podea
Flower Floare
Flute Flaut
Fly Musca
Fog Ceat
Food Mancare
Forest Padure
Fork Furculita
Fountain Fantana
Fox Vulpe
France Franta
Frog Broasca
Full Plin
Galaxy Galaxie
Garage Garaj
Garbage Gunoi
Garden Gradina
Garlic Usturoi
Gartic Gartic
Gate Poarta
Gentleman Gentleman
Germany Germania
Geyser Gheizer
Giant Gigant
Gift Cadou
Giraffe Girafa
Glacier Ghetar
Glass Sticla
Glasses Ochelari
Globe Glob
Glove Manusa
Goat Capra
Goblin Goblin
God Dumnezeu
Gold Aur
Goose Gasca
Gorilla Gorila
Grandpa Bunic
Grape Strugure
Grass Iarba
Grasshopper Lacusta
Greece Grecia
Green Verde
Grinch Grinch
Guitar Chitara
Hair Par
Half Jumatate
Hamburger Hamburger
Hammer Ciocan
Hammock Hamac
Hand Mana
Happiness Fericire
Harmonica Muzicuta
Harp Harpa
Hashtag Hashtag
Hat Palarie
Head Cap
Headphones Casti
Heart Inima
Hedgehog Arici
Helicopter Elicopter
Hell Iad
Helmet Casca
Hero Erou
Hexagon Hexagon
Highway Autostrada
Hill Deal
Hippo Hipopotam
Hive Stup
Honey Miere
Horse Cal
Hose Furtun
Hospital Spital
Hot Fierbinte
Hourglass Clepsidra
House Casa
Hug Imbratisare
Hulk Hulk
Hummingbird Colibri
Hungary Ungaria
Ice Gheata
Iceberg Iceberg
India India
Indonesia Indonesia
Infinity Infinit
Intersection Intersectie
Iris Iris
Island Insula
Israel Israel
Italy Italia
Jail Inchisoare
Japan Japonia
Jeans Blugi
Jellyfish Meduza
Joker Joker
Judge Judecator
Jupiter Jupiter
Kangaroo Cangur
